UserId,Group,Task,Presentation,NuggetID,UserSummaryNugget
65,2,low,short,65-2-low-08,シナモンの種類にはベトナム産のカシアシナモンがある
65,2,low,short,65-2-low-09,シナモンはセイロンシナモンが有名である
65,2,low,short,65-2-low-10,シナモンはカシアシナモンが有名である
65,2,low,short,65-2-low-11,日本はインドネシアから多くシナモンを輸入している
65,2,low,short,65-2-low-12,日本はスリランカから多くシナモンを輸入している
66,2,low,short,66-2-low-01,シナモンは世界で広く使用されるスパイスのひとつである
66,2,low,short,66-2-low-02,シナモンの原産国は不詳である
66,2,low,short,66-2-low-03,スリランカはシナモンの生産国として有名である
66,2,low,short,66-2-low-04,インドネシアはシナモンの生産国として有名である
66,2,low,short,66-2-low-05,日本はスリランカからシナモンを輸入している
66,2,low,short,66-2-low-06,日本はインドネシアからシナモンを輸入している
66,2,low,short,66-2-low-07,シナモンは人類の歴史と深い関りを持つ
66,2,low,short,66-2-low-08,古代エジプトではシナモンがミイラの防腐処理に使われていた
66,2,low,short,66-2-low-09,シナモンには食品以外にも多様な使用法がある
66,2,low,short,66-2-low-10,古代ギリシアでもシナモンは親しまれていた
66,2,low,short,66-2-low-11,シナモンは貿易で重要な役割を担った物資のひとつである
66,2,low,short,66-2-low-12,シナモン栽培には温暖な気候が求められる
66,2,low,short,66-2-low-13,シナモン栽培には湿潤な気候が求められる
66,2,low,short,66-2-low-14,シナモンの原産国は東南アジアだと推定できる
74,2,low,short,74-2-low-01,シナモンの原産地はスリランカである
74,2,low,short,74-2-low-02,シナモンの原産地はインド南部である
75,2,low,short,75-2-low-01,シナモンの主な原産地は南アジアである
75,2,low,short,75-2-low-02,スリランカがシナモンを一番多く生産している
75,2,low,short,75-2-low-03,スリランカで生産されたシナモンはセイロンシナモンとして世界的に有名である
75,2,low,short,75-2-low-04,中国でもシナモンの生産がある
75,2,low,short,75-2-low-05,インドネシアでもシナモンの生産がある
75,2,low,short,75-2-low-06,欧米ではシナモンの生産はほとんどされていない
75,2,low,short,75-2-low-07,日本でもシナモンの商業的な生産は行われていない
75,2,low,short,75-2-low-08,日本はシナモンの輸入に頼っている
75,2,low,short,75-2-low-09,欧州産のビスケットにシナモンが入っていることがある
75,2,low,short,75-2-low-10,欧州産のビスケットは欧州で生産されている
75,2,low,short,75-2-low-11,欧州産のビスケットに使われているシナモンは輸入品である
92,2,low,short,92-2-low-01,シナモンの原産地は南アジアである
92,2,low,short,92-2-low-02,シナモンの原産地の具体的な国名はスリランカである
99,2,low,short,99-2-low-01,インドが有名である
99,2,low,short,99-2-low-02,パキスタンが有名である
99,2,low,short,99-2-low-03,インドのケナミアではカシアという品種が生産されている
99,2,low,short,99-2-low-04,カシアは風味が強い
99,2,low,short,99-2-low-05,カシアは安価である
99,2,low,short,99-2-low-06,一番消費されている種類のデータは存在しない
121,2,low,short,121-2-low-01,シナモンの原産地はスリランカである
121,2,low,short,121-2-low-02,シナモンの原産地は中国である
121,2,low,short,121-2-low-03,シナモンの原産地はベトナムである
121,2,low,short,121-2-low-04,シナモンの原産地はインドネシアである
121,2,low,short,121-2-low-05,シナモンの原産地は南インドである
121,2,low,short,121-2-low-06,シナモンの原産地はアジアの熱帯地域である
121,2,low,short,121-2-low-07,ヨーロッパではシナモンは作られていない
121,2,low,short,121-2-low-08,スリランカでは高品質のセイロンシナモンが作られている
121,2,low,short,121-2-low-09,シナモンはシナモン樹の樹皮から作られている
122,2,low,short,122-2-low-01,シナモンの原産地としてはスリランカのセイロンが一番有力である
122,2,low,short,122-2-low-02,シナモンは日本でいう奈良時代に中国を経由して日本に輸入された
122,2,low,short,122-2-low-03,シナモンが世界中に本格的に広まったのは大航海時代である
122,2,low,short,122-2-low-04,大航海時代にヨーロッパの国々が高級な香辛料としてスリランカに関与したことが、シナモンが世界中に広まった大きな要因である
123,2,low,short,123-2-low-01,シナモンの原産地はスリランカである
123,2,low,short,123-2-low-02,シナモンの原産地は中国である
123,2,low,short,123-2-low-03,シナモンは2種類ある
123,2,low,short,123-2-low-04,シナモンはカシアシナモンがある
123,2,low,short,123-2-low-05,シナモンはセイロンシナモンがある
123,2,low,short,123-2-low-06,一般的に手に入れやすいお菓子にはカシアシナモンが使用されている
123,2,low,short,123-2-low-07,セイロンシナモンは高級なお菓子に使われることが多い
124,2,low,short,124-2-low-01,スリランカはシナモンの産地である
124,2,low,short,124-2-low-02,インドはシナモンの産地である
124,2,low,short,124-2-low-03,インドネシアはシナモンの産地である
124,2,low,short,124-2-low-04,中国はシナモンの産地である
124,2,low,short,124-2-low-05,ベトナムはシナモンの産地である
124,2,low,short,124-2-low-06,スリランカのセイロンシナモンがとくに有名である
125,2,low,short,125-2-low-01,スリランカはシナモンの産地である
125,2,low,short,125-2-low-02,南インドはシナモンの産地である
125,2,low,short,125-2-low-03,スリランカのシナモンはセイロンシナモンとして知られている
126,2,low,short,126-2-low-01,シナモンの原産地は主にスリランカである
126,2,low,short,126-2-low-02,シナモンの原産地は南インドである
126,2,low,short,126-2-low-03,シナモンの原産地は熱帯地域である
126,2,low,short,126-2-low-04,ヨーロッパではシナモンの栽培は基本的に行われていない
126,2,low,short,126-2-low-05,ヨーロッパの国々はスリランカからシナモンを輸入している
126,2,low,short,126-2-low-06,ヨーロッパの国々は南インドなどからシナモンを輸入している
127,2,low,short,127-2-low-01,シナモンの原産地は主にスリランカである
127,2,low,short,127-2-low-02,シナモンの原産地は主にインドである
127,2,low,short,127-2-low-03,スリランカのシナモンは伝統的な技法と気候が組み合わさり高品質とされている
127,2,low,short,127-2-low-04,シナモンは熱帯地方の特定の気候の中でしか育たない
127,2,low,short,127-2-low-05,日本ではシナモンの栽培は行われていない
128,2,low,short,128-2-low-01,シナモンはスリランカが原産地である可能性が高い
128,2,low,short,128-2-low-02,シナモンはインド南部が原産地である可能性が高い
128,2,low,short,128-2-low-03,シナモンはインドネシアが原産地である可能性が高い
129,2,low,short,129-2-low-01,シナモンの主な原産地はスリランカである
129,2,low,short,129-2-low-02,シナモンの主な原産地はインドである
129,2,low,short,129-2-low-03,シナモンの主な原産地は南アジアである
129,2,low,short,129-2-low-04,シナモンには2つの種類がある
129,2,low,short,129-2-low-05,セイロンシナモンは甘みが強い
129,2,low,short,129-2-low-06,カシアシナモンは辛みが強い
129,2,low,short,129-2-low-07,シナモンは料理などの用途によって使い分けられる
130,2,low,short,130-2-low-01,シナモンの有名な原産地はスリランカである
130,2,low,short,130-2-low-02,インドはシナモンの産地として知られている
130,2,low,short,130-2-low-03,ミャンマーはシナモンの産地として知られている
130,2,low,short,130-2-low-04,バングラデシュはシナモンの産地として知られている
131,2,low,short,131-2-low-01,シナモンの原産地はスリランカである
131,2,low,short,131-2-low-02,シナモンの原産地はインド南部である
132,2,low,short,132-2-low-01,スリランカである
132,2,low,short,132-2-low-02,インドである
133,2,low,short,133-2-low-01,シナモンの原産地は南アジアのスリランカである
133,2,low,short,133-2-low-02,シナモンの原産地はインド南部である
134,2,low,short,134-2-low-01,シナモンの原産地はスリランカである
134,2,low,short,134-2-low-02,シナモンの原産地はインド南部の平野部である
135,2,low,short,135-2-low-01,シナモンの生産地は熱帯気候である
135,2,low,short,135-2-low-02,シナモンの生産地は温暖な地域である
135,2,low,short,135-2-low-03,南アジアがシナモンの生産地の中心である
135,2,low,short,135-2-low-04,インドネシアが主要なシナモンの生産地である
135,2,low,short,135-2-low-05,インド南部が主要なシナモンの生産地である
135,2,low,short,135-2-low-06,スリランカが主要なシナモンの生産地である
135,2,low,short,135-2-low-07,肥沃な土壌がある地域では上質なシナモンが取れる
135,2,low,short,135-2-low-08,湿度が高い地域では上質なシナモンが取れる
135,2,low,short,135-2-low-09,適度なスコールがある地域では上質なシナモンが取れる
136,2,low,short,136-2-low-01,シナモンは主にスリランカで作られている
136,2,low,short,136-2-low-02,シナモンは主に南インドで作られている
136,2,low,short,136-2-low-03,シナモンは古代エジプト時代から食べられている
136,2,low,short,136-2-low-04,シナモンは2000年位前から食べられている
137,2,low,short,137-2-low-01,シナモンはインド南部が原産地である
137,2,low,short,137-2-low-02,シナモンはスリランカが原産地である
137,2,low,short,137-2-low-03,シナモンは古代から香辛料として盛んに貿易されている
137,2,low,short,137-2-low-04,シナモンはアメリカで多く消費されている
137,2,low,short,137-2-low-05,シナモンはインドで多く消費されている
137,2,low,short,137-2-low-06,シナモンはヨーロッパで多く消費されている
137,2,low,short,137-2-low-07,シナモンには抗酸化作用がある
137,2,low,short,137-2-low-08,シナモンには抗炎症作用がある
137,2,low,short,137-2-low-09,シナモンの適度な摂取は体に良いとされている
137,2,low,short,137-2-low-10,シナモンの市場価格は需給のバランスによって変動することがある
137,2,low,short,137-2-low-11,日本国内でのシナモン消費量は貿易統計などで調べる必要がある
137,2,low,short,137-2-low-12,シナモンはシナモンロールの香辛料として使用されている
137,2,low,short,137-2-low-13,シナモンはカレーの香辛料として使用されている
138,2,low,short,138-2-low-01,シナモンの原産地はスリランカである
138,2,low,short,138-2-low-02,シナモンの原産地は南インドである
138,2,low,short,138-2-low-03,シナモンに2種類がある
138,2,low,short,138-2-low-04,シナモンにはセイロンシナモンがある
138,2,low,short,138-2-low-05,シナモンにはカシアがある
138,2,low,short,138-2-low-06,セイロンシナモンはスリランカ周辺で栽培されている
138,2,low,short,138-2-low-07,セイロンシナモンの特徴は樹皮が柔らかいことである
138,2,low,short,138-2-low-08,カシアは東南アジアで栽培されている
138,2,low,short,138-2-low-09,カシアの樹皮は硬い
138,2,low,short,138-2-low-10,カシアはヨーロッパに輸出されている
138,2,low,short,138-2-low-11,シナモンがヨーロッパに輸出され始めたのは古代ローマ時代からである
139,2,low,short,139-2-low-01,シナモンは中国で栽培されている
139,2,low,short,139-2-low-02,シナモンはインドネシアで栽培されている
139,2,low,short,139-2-low-03,シナモンはマダガスカルで栽培されている
139,2,low,short,139-2-low-04,シナモンはインドで栽培されている
139,2,low,short,139-2-low-05,シナモンはスリランカで栽培されている
139,2,low,short,139-2-low-06,シナモンは中国から輸出されている
139,2,low,short,139-2-low-07,シナモンはインドネシアから輸出されている
139,2,low,short,139-2-low-08,シナモンはマダガスカルから輸出されている
139,2,low,short,139-2-low-09,シナモンはインドから輸出されている
139,2,low,short,139-2-low-10,シナモンはスリランカから輸出されている
139,2,low,short,139-2-low-11,シナモンは東アジアで栽培されている
139,2,low,short,139-2-low-12,シナモンは東南アジアで栽培されている
139,2,low,short,139-2-low-13,シナモンは南アジアで栽培されている
139,2,low,short,139-2-low-14,シナモンはアフリカの一部で栽培されている
139,2,low,short,139-2-low-15,シナモンは日本に輸出されている
139,2,low,short,139-2-low-16,シナモンはヨーロッパに輸出されている
140,2,low,short,140-2-low-01,シナモンの生産地にはスリランカがある
140,2,low,short,140-2-low-02,シナモンの生産地には中国がある
140,2,low,short,140-2-low-03,シナモンの生産地にはベトナムがある
140,2,low,short,140-2-low-04,セイロンシナモンが有名である
9,3,low,short,9-3-low-01,シナモンの原産地はスリランカである
17,3,low,short,17-3-low-01,シナモンの主な生産地はスリランカである
17,3,low,short,17-3-low-02,スリランカはシナモンの全体の生産量の70から80％を占めている
17,3,low,short,17-3-low-03,スリランカの南西部のいくつかの都市でシナモンが生産されている
17,3,low,short,17-3-low-04,シナモンには2種類がある
17,3,low,short,17-3-low-05,シナモンにはセイロンシナモンがある
17,3,low,short,17-3-low-06,シナモンにはアカシアシナモンがある
17,3,low,short,17-3-low-07,アカシアシナモンはシナモン全体の90％を占めている
17,3,low,short,17-3-low-08,セイロンシナモンはシナモン全体の10％を占めている
17,3,low,short,17-3-low-09,シナモンの生産に適しているのは熱帯気候である
20,3,low,short,20-3-low-01,スパイシーな味をしているシナモンはカシアシナモンである
20,3,low,short,20-3-low-02,カシアシナモンは中国が原産地である
20,3,low,short,20-3-low-03,ヨーロッパではシナモンが収穫できるところがない
20,3,low,short,20-3-low-04,ヨーロッパではシナモンを別の国から輸入している
20,3,low,short,20-3-low-05,シナモンの多くはアジア地域で収穫されている
32,3,low,short,32-3-low-01,シナモンの主要な生産地はスリランカである
32,3,low,short,32-3-low-02,シナモンの主要な生産地は南インドである
32,3,low,short,32-3-low-03,日本ではシナモンは商業ベースではとれない
34,3,low,short,34-3-low-01,シナモンの原産地はスリランカである
34,3,low,short,34-3-low-02,シナモンの原産地はインド南部である
35,3,low,short,35-3-low-01,ヨーロッパで販売されているビスケットにはシナモンが入っていることがある
35,3,low,short,35-3-low-02,ヨーロッパで販売されているビスケットに使われているシナモンはアジアからの輸入品である
35,3,low,short,35-3-low-03,ヨーロッパで販売されているビスケットにはインドネシア産のシナモンが使われていることが多い
35,3,low,short,35-3-low-04,ヨーロッパで販売されているビスケットにはスリランカ産のシナモンが使われていることが多い
36,3,low,short,36-3-low-01,シナモンは主にスリランカで多く生産されている
36,3,low,short,36-3-low-02,シナモンはインドネシアで多く生産されている
36,3,low,short,36-3-low-03,シナモンには抗酸化作用がある
36,3,low,short,36-3-low-04,シナモンは健康に良いとされている
41,3,low,short,41-3-low-01,シナモンは木の皮が原料である
41,3,low,short,41-3-low-02,シナモンの原産地はインドである
41,3,low,short,41-3-low-03,シナモンの原産地はスリランカである
41,3,low,short,41-3-low-04,シナモンが日本に入ってきたのは奈良時代である
41,3,low,short,41-3-low-05,シナモンが日本に入ってきたのは8世紀ごろと言われている
41,3,low,short,41-3-low-06,シナモンは初めの頃薬用として使用された
41,3,low,short,41-3-low-07,シナモンは初めの頃香料として使用された
41,3,low,short,41-3-low-08,シナモンはその後食用としても使用されるようになった
45,3,low,short,45-3-low-01,シナモンは東南アジアの気候が生産に適している
45,3,low,short,45-3-low-02,シナモンは主にスリランカで生産されている
45,3,low,short,45-3-low-03,シナモンは主にベトナムで生産されている
45,3,low,short,45-3-low-04,シナモンは主にインドネシアで生産されている
45,3,low,short,45-3-low-05,スリランカで生産されているシナモンが有名である
45,3,low,short,45-3-low-06,ベトナムで生産されているシナモンが有名である
45,3,low,short,45-3-low-07,インドネシアで生産されているシナモンが有名である
45,3,low,short,45-3-low-08,ヨーロッパではシナモンは生産されていない
45,3,low,short,45-3-low-09,ヨーロッパはシナモンの輸入に頼っている
46,3,low,short,46-3-low-01,シナモンの原産地はスリランカである
46,3,low,short,46-3-low-02,シナモンの原産地はインド南部である
53,3,low,short,53-3-low-01,シナモンの原産地はスリランカである
53,3,low,short,53-3-low-02,シナモンの原産地はインドである
53,3,low,short,53-3-low-03,スリランカのシナモンは上品で繊細である
53,3,low,short,53-3-low-04,スリランカのシナモンはほかのものよりマイルドである
53,3,low,short,53-3-low-05,インドのシナモンは香りが強い
53,3,low,short,53-3-low-06,インドのシナモンはスパイシーである
53,3,low,short,53-3-low-07,スリランカのシナモンは安全性が高い
57,3,low,short,57-3-low-01,スリランカである
57,3,low,short,57-3-low-02,インド南部である
61,3,low,short,61-3-low-01,ビスケットに使われるシナモンにはセイロンシナモンがある
61,3,low,short,61-3-low-02,セイロンシナモンはスリランカなどが原産である
61,3,low,short,61-3-low-03,ビスケットに使われるシナモンにはカシアがある
61,3,low,short,61-3-low-04,カシアは中国などが原産である
61,3,low,short,61-3-low-05,セイロンシナモンとカシアは風味が異なる
61,3,low,short,61-3-low-06,セイロンシナモンとカシアは価格が異なる
63,3,low,short,63-3-low-01,中国でシナモンの生産が盛んであることがわかった
63,3,low,short,63-3-low-02,インドネシアでシナモンの生産が盛んであることがわかった
63,3,low,short,63-3-low-03,インドでシナモンの生産が盛んであることがわかった
63,3,low,short,63-3-low-04,スリランカでシナモンの生産が盛んであることがわかった
69,3,low,short,69-3-low-01,シナモンの原産地はインド南部である
69,3,low,short,69-3-low-02,シナモンの原産地はパキスタンである
69,3,low,short,69-3-low-03,インド南部は熱帯性気候である
69,3,low,short,69-3-low-04,パキスタンは熱帯性気候である
69,3,low,short,69-3-low-05,熱帯性気候はシナモンの生育に適した気候帯である
70,3,low,short,70-3-low-01,シナモンの原産地はスリランカである
70,3,low,short,70-3-low-02,シナモンの原産地は東南アジアである
70,3,low,short,70-3-low-03,シナモンの原産地はインド南部である
80,3,low,short,80-3-low-01,シナモンの原産地はベトナムである
84,3,low,short,84-3-low-01,シナモンの原産地としてスリランカが挙げられる
84,3,low,short,84-3-low-02,シナモンの原産地としてインドが挙げられる
84,3,low,short,84-3-low-03,シナモンの原産地としてインドネシアが挙げられる
88,3,low,short,88-3-low-01,シナモンの原産地はスリランカである
88,3,low,short,88-3-low-02,シナモンはインドネシアで生産されている
88,3,low,short,88-3-low-03,シナモンはベトナムで生産されている
88,3,low,short,88-3-low-04,シナモンは中国で生産されている
88,3,low,short,88-3-low-05,シナモンの最大の生産国はインドネシアである
89,3,low,short,89-3-low-01,シナモンの原産地はスリランカである
89,3,low,short,89-3-low-02,シナモンの原産地はインド南部である
89,3,low,short,89-3-low-03,スリランカで作られるシナモンはビスケットに用いられることがある
89,3,low,short,89-3-low-04,インド南部で作られるシナモンはビスケットに用いられることがある
141,3,low,short,141-3-low-01,シナモンの原産地はインドである
141,3,low,short,141-3-low-02,シナモンの原産地はスリランカである
141,3,low,short,141-3-low-03,スリランカ産のシナモンはセイロンシナモンとも呼ばれている
141,3,low,short,141-3-low-04,シナモンはクッキー以外にも使われる
141,3,low,short,141-3-low-05,シナモンはカレーのスパイスとして使われる
141,3,low,short,141-3-low-06,シナモンはシナモンロールに使われる
141,3,low,short,141-3-low-07,シナモンはアップルパイに使われる
142,3,low,short,142-3-low-01,シナモンの原産地はスリランカである
143,3,low,short,143-3-low-01,シナモンの原産地はスリランカである
143,3,low,short,143-3-low-02,シナモンの原産地はインド南部である
144,3,low,short,144-3-low-01,シナモンの原産地はスリランカである
144,3,low,short,144-3-low-02,シナモンの原産地はインド南部である
145,3,low,short,145-3-low-01,シナモンの原産地はスリランカである
145,3,low,short,145-3-low-02,シナモンの原産地は南インドである
145,3,low,short,145-3-low-03,シナモンは植物の一種である
145,3,low,short,145-3-low-04,シナモンは樹皮を乾燥させて粉状にする
145,3,low,short,145-3-low-05,シナモンはアメリカで多く消費されている
145,3,low,short,145-3-low-06,シナモンはインドで多く消費されている
145,3,low,short,145-3-low-07,シナモンは様々な料理に使われている
145,3,low,short,145-3-low-08,シナモンをシナモンロールに加えると風味豊かになる
145,3,low,short,145-3-low-09,シナモンをカレーに加えると風味豊かになる
145,3,low,short,145-3-low-10,シナモンをアップルパイに加えると風味豊かになる
145,3,low,short,145-3-low-11,シナモンには血糖値の安定に良い効果がある
145,3,low,short,145-3-low-12,シナモンには抗酸化作用がある
145,3,low,short,145-3-low-13,シナモンには抗炎症作用がある
145,3,low,short,145-3-low-14,シナモンは糖尿病の患者に有効である
145,3,low,short,145-3-low-15,シナモンの過剰摂取は害になる
145,3,low,short,145-3-low-16,シナモンの摂取には医師の指示が必要である
145,3,low,short,145-3-low-17,シナモンの栽培には温暖な気候が必要である
145,3,low,short,145-3-low-18,シナモンの栽培には十分な水やりが必要である
145,3,low,short,145-3-low-19,シナモンの栽培にはそれに適した土壌が必要である
146,3,low,short,146-3-low-01,シナモンの原産地はスリランカである
146,3,low,short,146-3-low-02,シナモンの原産地は南インドである
147,3,low,short,147-3-low-01,シナモンの原産地はスリランカである
147,3,low,short,147-3-low-02,シナモンの原産地は南インドである
148,3,low,short,148-3-low-01,シナモンの原産地はインドネシアである
148,3,low,short,148-3-low-02,シナモンの原産地はスリランカである
148,3,low,short,148-3-low-03,シナモンには抗酸化作用がある
148,3,low,short,148-3-low-04,シナモンは体に良いとされている
148,3,low,short,148-3-low-05,シナモンを多く摂り過ぎると皮膚のかゆみが起きる場合がある
148,3,low,short,148-3-low-06,シナモンを多く摂り過ぎると皮膚の炎症が起きる場合がある
148,3,low,short,148-3-low-07,アレルギー反応が出るシナモンの品種がある
148,3,low,short,148-3-low-08,シナモンが肝臓に影響する場合がある
148,3,low,short,148-3-low-09,肝臓に疾患を持っている場合はシナモンを控えた方が良いとされている
149,3,low,short,149-3-low-01,シナモンの原産地は主にスリランカである
149,3,low,short,149-3-low-02,シナモンの原産地は主にインド南部である
149,3,low,short,149-3-low-03,ヨーロッパ産のビスケットに含まれているシナモンの原産地はスリランカである
149,3,low,short,149-3-low-04,ヨーロッパ産のビスケットに含まれているシナモンの原産地はインド南部である
149,3,low,short,149-3-low-05,日本で販売されているシナモンスパイスの原産地はスリランカである
149,3,low,short,149-3-low-06,日本で販売されているシナモンスパイスの原産地はインド南部である
150,3,low,short,150-3-low-01,ヨーロッパではシナモン生産は行われていない
150,3,low,short,150-3-low-02,ヨーロッパは熱帯地域からシナモンを輸入している
150,3,low,short,150-3-low-03,日本ではシナモンを生産していない
150,3,low,short,150-3-low-04,シナモンの主な原産国はスリランカである
150,3,low,short,150-3-low-05,シナモンの主な原産国はインドである
150,3,low,short,150-3-low-06,シナモンの主な原産国はインドネシアである
150,3,low,short,150-3-low-07,シナモンの主な原産国はベトナムである
150,3,low,short,150-3-low-08,シナモンの原産国には中国がある
150,3,low,short,150-3-low-09,シナモンの原産国にはミャンマーがある
150,3,low,short,150-3-low-10,シナモンの原産国には旧ビルマがある
151,3,low,short,151-3-low-01,スリランカが主な原産地である
151,3,low,short,151-3-low-02,インド南部が主な原産地である
152,3,low,short,152-3-low-01,シナモンの原産国はインドである
152,3,low,short,152-3-low-02,シナモンの原産国はスリランカである
152,3,low,short,152-3-low-03,シナモンの原産国はイランである
152,3,low,short,152-3-low-04,シナモンの原産国は複数の国がある
152,3,low,short,152-3-low-05,世界で最もシナモンを生産している国はインドネシアである
152,3,low,short,152-3-low-06,インドネシアのシナモン生産量は年間約9万トンである
152,3,low,short,152-3-low-07,シナモンを生産するには高温多湿な熱帯が適している
152,3,low,short,152-3-low-08,シナモンの生産には水はけがよい土壌が必要である
11,1,low,long,11-1-low-01,シナモンの原産地は主に熱帯のインドである
11,1,low,long,11-1-low-02,シナモンの原産地はインドネシアである
11,1,low,long,11-1-low-03,シナモンの原産地はベトナムである
11,1,low,long,11-1-low-04,シナモンの原産地は中国である
11,1,low,long,11-1-low-05,ヨーロッパではシナモンの原産地として気候条件が適さない
11,1,low,long,11-1-low-06,日本では沖縄でシナモンによく似たニッケイが採取されることがある
11,1,low,long,11-1-low-07,沖縄で採取されるニッケイは商用レベルではない
11,1,low,long,11-1-low-08,シナモンは樹皮の内側の柔らかい部分を剥がし、乾燥させて作るスパイスである
11,1,low,long,11-1-low-09,シナモンにはセイロンシナモンがある
11,1,low,long,11-1-low-10,シナモンにはカシアシナモンがある
11,1,low,long,11-1-low-11,セイロンシナモンとカシアシナモンはそれぞれ香りに特徴がある
